.
1. Contracts; Hợp đồng
ignore /ɪɡˈnɔː(r)/, /ɪɡˈnɔːr/;  bỏ qua, phớt lờ, không để ý tới
search /sɜːtʃ/, /sɜːrtʃ/;  tìm kiếm, tìm hiểu
shut down; tắt máy, ngừng hoạt động, chấm dứt
warning /ˈwɔːnɪŋ/, /ˈwɔːrnɪŋ/;  cảnh báo, báo trước

7. Office technology; Công nghệ văn phòng
affordable /əˈfɔːdəbl/, /əˈfɔːrdəbl/;  có đủ khả năng, có đủ điều kiện 
as needed; khi cần, lúc cần, cần thiết
be in charge of; hịu trách nhiệm về
capacity /kəˈpæsəti/, /kəˈpæsəti/;  sức chứa, dung tích, khả năng
durable /ˈdjʊərəbl/, /ˈdʊrəbl/;  bền, lâu, lâu bền
initiative /ɪˈnɪʃətɪv/, /ɪˈnɪʃətɪv/;  bền, lâu, lâu bền
physically /ˈfɪzɪkli/, /ˈfɪzɪkli/;  thể chất, một cách vật lý
provide /prəˈvaɪd/, /prəˈvaɪd/;  người cung cấp, nhà cung cấp
recur /rɪˈkɜː(r)/, /rɪˈkɜːr/;  lặp lại, diễn lại, tái diễn
reduction /rɪˈdʌkʃn/, /rɪˈdʌkʃn/;  giảm thiểu, hạ, thu nhỏ
stay on top of; nắm bắt tình hình, hiểu biết thông tin mới nhất
stock /stɒk/, /stɑːk/;  kho/hàng dự trữ, vốn, cổ phần

8. Office procedures; Thủ tục văn phòng
appreciation /əˌpriːʃiˈeɪʃn/, /əˌpriːʃiˈeɪʃn/;  sự đánh giá, nhận thức, sự cảm kích
be made of; làm bằng (cái gì), gồm có (cái gì)
bring in; thuê, mướn
casually /ˈkæʒuəli/, /ˈkæʒuəli/;  tình cờ, ngẫu nhiên
code /kəʊd/, /koʊd/;  quy tắc, luật lệ, đạo lý
expose /ɪkˈspəʊz/, /ɪkˈspoʊz/;  phơi bày, bộc lộ, phô ra
glimpse /ɡlɪmps/, /ɡlɪmps/;  nhìn lướt qua, thoáng qua
out of; hết, mất, không còn
outdated /ˌaʊtˈdeɪtɪd/, /ˌaʊtˈdeɪtɪd/;  hết hạn, lỗi thời, lạc hậu
practice /ˈpræktɪs/, /ˈpræktɪs/;  sự thực hành, rèn luyện, tập luyện
reinforce /ˈfɔːs/, /ˈfɔːrs/;  tăng cường, củng cố, gia cố
verbally /ˈvɜːbəli/, /ˈvɜːrbəli/;  bằng miệng, bằng lời nói


9. Electronics; Điện tử
disk; đĩa (vi tính, thể thao, đĩa hát...)
facilitate /fəˈsɪlɪteɪt/, /fəˈsɪlɪteɪt/;  làm cho dễ dàng, làm cho thuận tiện
network /wɜːk/, /wɜːrk/;  kết nối, liên kết, mạng lưới
popularity /ˌpɒpjuˈlærəti/, /ˌpɑːpjuˈlærəti/;  phổ biến, nổi tiếng
process; quá trình, sự tiến triển
replace /rɪˈpleɪs/, /rɪˈpleɪs/;  thay thế, đặt vào lại chỗ cũ
revolution /ˌrevəˈluːʃn/, /ˌrevəˈluːʃn/;  sự xoay vòng, cuộc cách mạng
sharp /ʃɑːp/, /ʃɑːrp/;  sắc, bén, rõ rệt
skill /skɪl/, /skɪl/;  kỹ năng, kỹ xảo
software /ˈsɒftweə(r)/, /ˈsɔːftwer/;  phần mềm, chương trình máy tính
store /stɔː(r)/, /stɔːr/;  cửa hàng, cửa hiệu, kho hàng
technically /ˈteknɪkli/, /ˈteknɪkli/;  một cách chuyên môn

10. Correspondence; Thư tín
assemble /əˈsembl/, /əˈsembl/;  thu thập, lắp ráp, tập hợp
beforehand /ˈfɔːhænd/, /ˈfɔːrhænd/;  sẵn, có sẵn, trước
complication /ˌkɒmplɪˈkeɪʃn/, /ˌkɑːmplɪˈkeɪʃn/;  sự phức tạp, sự rắc rối
courier /ˈkʊriə(r)/, /ˈkʊriər/;  người đưa tin, người đưa thư, người chuyển phát
express /ɪkˈspres/, /ɪkˈspres/;  nhanh, hỏa tốc, tốc hành
fold /fəʊld/, /foʊld/;  nếp gấp, gấp lại
layout /ˈleɪaʊt/, /ˈleɪaʊt/;  sự bổ trí trang giấy
mention /ˈmenʃn/, /ˈmenʃn/;  sự đề cập
petition /pəˈtɪʃn/, /pəˈtɪʃn/;  sự cầu xin, đơn kiến nghị, đơn thỉnh cầu
proof /pruːf/, /pruːf/;  bằng chứng, chứng cớ
register /ˈredʒɪstə(r)/, /ˈredʒɪstər/;  đăng ký
revise /rɪˈvaɪz/, /rɪˈvaɪz/;  duyệt lại, sửa lại

11. Job advertising and recruiting; Quảng cáo công việc và tuyển dụng
abundant /əˈbʌndənt/, /əˈbʌndənt/;  nhiều, phong phú, thừa
accomplishment /əˈkʌmplɪʃmənt/, /əˈkɑːmplɪʃmənt/;  thành tựu, thành tích, sự hoàn thành
bring together; gom lại, nhóm lại, họp lại
candidate /ˈkændɪdət/, /ˈkændɪdət/;  ứng cử viên, thí sinh, người dự thi
come up with; ý định
commensurate (+with); xứng với, tương xứng với
match /mætʃ/, /mætʃ/;  đối thủ, người ngang tài sức
profile /ˈprəʊfaɪl/, /ˈproʊfaɪl/;  tiểu sử sơ lược, bản tóm lược các đặc tính
qualification /ˌkwɒlɪfɪˈkeɪʃn/, /ˌkwɑːlɪfɪˈkeɪʃn/;  khả năng, năng lực, trình độ 
recruit /rɪˈkruːt/, /rɪˈkruːt/;  tuyển dụng
submit /səbˈmɪt/, /səbˈmɪt/;  trình, đệ trình, biện hộ
time-consuming /ˈtaɪm kənsjuːmɪŋ/, /ˈtaɪm kənsuːmɪŋ/;  tốn nhiều thời gian

12. Applying and interviewing; Ứng tuyển và phỏng vấn
ability /əˈbɪləti/, /əˈbɪləti/;  năng lực, khả năng, tài năng
apply /əˈplaɪ/, /əˈplaɪ/;  nộp, ứng tuyển
background /ˈbækɡraʊnd/, /ˈbækɡraʊnd/;  kiến thức, kinh nghiệm, quá trình đào tạo
be ready for; sẵn sàng cho
call in; yêu cầu, mời tới
confidence /ˈkɒnfɪdəns/, /ˈkɑːnfɪdəns/;  sự tin cậy, tin tưởng
constantly /ˈkɒnstəntli/, /ˈkɑːnstəntli/;  luôn luôn, liên tục, liên miên
expert /pɜːt/, /pɜːrt/;  chuyên gia, chuyên viên
follow up; tiếp theo, kế tiếp
hesitant /ˈhezɪtənt/, /ˈhezɪtənt/;  do dự, lưỡng lự, ngập ngừng
present /ˈpreznt/, /ˈpreznt/;  đưa ra, bày tỏ, giới thiệu
weakly /ˈwiːkli/, /ˈwiːkli/;  một cách yếu ớt, yếu, ốm yếu

13. Hiring and training; Thuê mướn và đào tạo 
conduct /kənˈdʌkt/, /kənˈdʌkt/;  tiến hành, cư xử
generate /ˈdʒenəreɪt/, /ˈdʒenəreɪt/;  sinh ra, tạo ra, phát ra
hire /ˈhaɪə(r)/, /ˈhaɪər/;  thuê, mướn
keep up with; theo kịp, bắt kịp, đạt cho bằng được
look up to; tôn kính, kính trọng, khâm phục
mentor /ˈmentɔː(r)/, /ˈmentɔːr/;  người cố vấn
on track; theo dõi, đi tìm
reject /rɪˈdʒekt/, /rɪˈdʒekt/;  từ chối, loại bỏ
set up; thiết lập, tạo dựng
success /səkˈses/, /səkˈses/;  thành công, thành đạt, thắng lợi
training /ˈtreɪnɪŋ/, /ˈtreɪnɪŋ/;  huấn luyện, dạy dỗ, đào tạo
update /ˌʌpˈdeɪt/, /ˌʌpˈdeɪt/;  cập nhật

14. Salaries and benefits; Lương và lợi ích
basis /ˈbeɪsɪs/, /ˈbeɪsɪs/;  nền tảng, cơ sở, căn cứ
be aware of; am hiểu về
benefit /ˈbenɪfɪt/, /ˈbenɪfɪt/;  chế độ đãi ngộ, lợi ích, phúc lợi
compensate /ˈkɒmpenseɪt/, /ˈkɑːmpenseɪt/;  bù, đền bù, bồi thường
delicately /ˈdelɪkətli/, /ˈdelɪkətli/;  khôn khéo, nhạy bén
eligible /ˈelɪdʒəbl/, /ˈelɪdʒəbl/;  thích hợp, đủ tư cách, đủ tiêu chuẩn
flexibly /ˈfleksəbli/, /ˈfleksəbli/;  mềm dẻo, linh hoạt, linh động
negotiate /ˈɡəʊʃieɪt/, /ˈɡoʊʃieɪt/;  thương lượng, đàm phán, điều đình
raise /reɪz/, /reɪz/;  nâng lên, tăng lên, tăng lương
retire /rɪˈtaɪə(r)/, /rɪˈtaɪər/;  nghỉ hưu
vested; được trao, được ban, được phong
wage /weɪdʒ/, /weɪdʒ/;  tiền công, tiền lương (thường trả theo giờ)

15. Promotions, pensions, and awards; Thăng chức, lương hưu và thưởng
achievement /əˈtʃiːvmənt/, /əˈtʃiːvmənt/;  thành tích, thành tựu
contribute /kənˈtrɪbjuːt/, /ˈkɒntrɪbjuːt/;  đóng góp, góp phần
dedication /ˌdedɪˈkeɪʃn/, /ˌdedɪˈkeɪʃn/;  cống hiến, hiến dâng, tận tụy 
look forward to; mong đợi, mong chờ, trông mong
look to; tin vào, trông cậy vào, mong đợi ở (ai)
loyal /ˈlɔɪəl/, /ˈlɔɪəl/;  trung thành, trung nghĩa, trung kiên
merit /ˈmerɪt/, /ˈmerɪt/;  công lao, công trạng
obviously /ˈɒbviəsli/, /ˈɑːbviəsli/;  rõ ràng, hiển nhiên
productive /prəˈdʌktɪv/, /prəˈdʌktɪv/;  có năng suất, có hiệu quả, sinh lợi cao
promote /ˈməʊt/, /ˈmoʊt/;  thăng tiến, thăng chức
recognition /ˌrekəɡˈnɪʃn/, /ˌrekəɡˈnɪʃn/;  (sự) công nhận, thừa nhận, nhận ra
value /ˈvæljuː/, /ˈvæljuː/;  giá trị

16. Shopping; Mua sắm
bargain /ˈbɑːɡən/, /ˈbɑːrɡən/;  trả giá, mặc cả, món hời
bear /beə(r)/, /ber/;  chịu đựng, cam chịu
behavior; thái độ, hành vi, cách cư xử
check-out; thanh toán, quầy thanh toán
comfort /fət/, /fərt/;  sự thoải mái, thoải mái, dễ dàng
expand /ɪkˈspænd/, /ɪkˈspænd/;  mở rộng, trải rộng, giãn ra
explore /ɪkˈsplɔː(r)/, /ɪkˈsplɔːr/;  khảo sát, thăm dò, khám phá
item /ˈaɪtəm/, /ˈaɪtəm/;  món, mục, mặt hàng
mandatory /ˈmændətəri/, /mænˈdeɪtəri/;  lệnh, bắt buộc
merchandise /ˈmɜːtʃəndaɪs/, /ˈmɜːrtʃəndaɪs/;  hàng hóa
strictly /ˈstrɪktli/, /ˈstrɪktli/;  nghiêm ngặt, nghiêm khắc
trend /trend/, /trend/;  khuynh hướng, xu hướng

17. Ordering supplies; Đặt hàng
diversify /ˈvɜːsɪfaɪ/, /ˈvɜːrsɪfaɪ/;  đa dạng hóa, làm cho thành nhiều dạng
enterprise /təpraɪz/, /tərpraɪz/;  công trình, dự án lớn
essentially /ɪˈsenʃəli/, /ɪˈsenʃəli/;  cần thiết
everyday /ˈevrideɪ/, /ˈevrideɪ/;  hàng ngày, thường ngày, thông thường
function /ˈfʌŋkʃn/, /ˈfʌŋkʃn/;  chức năng, nhiệm vụ
maintain /meɪnˈteɪn/, /meɪnˈteɪn/;  bảo quản, giữ gìn, duy trì
obtain /əbˈteɪn/, /əbˈteɪn/;  đạt được, thu được, giành được
prerequisite /ˌpriːˈrekwəzɪt/, /ˌpriːˈrekwəzɪt/;  điều kiện tiên quyết, cần trước hết
quality /ˈkwɒləti/, /ˈkwɑːləti/;  chất lượng, phẩm chất
smooth /smuːð/, /smuːð/;  êm thấm, suôn sẻ, trôi chảy
source /sɔːs/, /sɔːrs/;  nguồn, nguồn gốc
stationery /nri/, /neri/;  đồ dùng văn phòng

18. Shipping; Vận chuyển
accurate /ˈækjərət/, /ˈækjərət/;  ‹một cách› chính xác, đúng đắn, xác đáng
carrier /ˈkæriə(r)/, /ˈkæriər/;  (người)chuyên chở, vận chuyển
catalog; sách danh mục chi tiết
fulfill; thực hiện, thi hành, hoàn thành
integral /ˈɪntɪɡrəl/, /ˈɪntɪɡrəl/;  cần thiết, không thể thiếu
inventory /tri/, /tɔːri/;  sự kiểm kê, hàng tồn kho
minimize /ˈmɪnɪmaɪz/, /ˈmɪnɪmaɪz/;  giảm thiểu, giảm đến mức tối thiểu
on hand; có thể dùng được, có sẵn
remember /rɪˈmembə(r)/, /rɪˈmembər/;  nhớ, ghi nhớ
ship /ʃɪp/, /ʃɪp/;  tàu thủy, máy bay
sufficiently /səˈfɪʃntli/, /səˈfɪʃntli/;  đủ, có đủ
supply /səˈplaɪ/, /səˈplaɪ/;  cung cấp, đáp ứng

19. Invoices; Hóa đơn 
charge /tʃɑːdʒ/, /tʃɑːrdʒ/;  tính phí
compile /kəmˈpaɪl/, /kəmˈpaɪl/;  soạn, biên soạn, soạn thảo
customer /ˈkʌstəmə(r)/, /ˈkʌstəmər/;  khách hàng
discount /ˈdɪskaʊnt/, /ˈdɪskaʊnt/;  giảm giá, chiết khấu, khấu trừ
efficient /ɪˈfɪʃnt/, /ɪˈfɪʃnt/;  có hiệu quả, có hiệu suất, có năng suất
estimate /ˈestɪmət/, /ˈestɪmət/;  ước lượng
impose /ɪmˈpəʊz/, /ɪmˈpoʊz/;  bắt chịu, bắt gánh vác
mistake /mɪˈsteɪk/, /mɪˈsteɪk/;  lỗi, sai, nhầm
order /ˈɔːdə(r)/, /ˈɔːrdər/;  đơn đặt hàng, thứ tự, trật tự
promptly /ˈprɒmptli/, /ˈprɑːmptli/;  mau lẹ, nhanh chóng, ngay lập tức
rectify /ˈrektɪfaɪ/, /ˈrektɪfaɪ/;  sửa lại, hiệu chỉnh
terms /tɜːmz/, /tɜːrmz/;  điều khoản

20. Inventory; Hàng tồn kho
adjustment /əˈdʒʌstmənt/, /əˈdʒʌstmənt/;  điều chỉnh, chỉnh lý, sự sửa lại cho đúng
automatic /ˌɔːtəˈmætɪk/, /ˌɔːtəˈmætɪk/;  một cách tự động
crucial /ˈkruːʃl/, /ˈkruːʃl/;  cốt yếu, chủ yếu, có tính quyết định
discrepancy /dɪˈskrepənsi/, /dɪˈskrepənsi/;  cốt yếu, chủ yếu, có tính quyết định
disturb /ˈstɜːb/, /ˈstɜːrb/;  quấy rầy, quấy rối
liability /ˌlaɪəˈbɪləti/, /ˌlaɪəˈbɪləti/;  trách nhiệm, nghĩa vụ
reflection /rɪˈflekʃn/, /rɪˈflekʃn/;  phản ánh, phản chiếu, phản xạ
run /rʌn/, /rʌn/;  vận hành, hoạt động, thực hiện
scan /skæn/, /skæn/;  xem lướt, xem qua, kiểm tra nhanh
subtract /səbˈtrækt/, /səbˈtrækt/;  trừ đi, khấu trừ
tedious /ˈtiːdiəs/, /ˈtiːdiəs/;  chán ngắt, tẻ nhạt, nhạt nhẽo
verify /ˈverɪfaɪ/, /ˈverɪfaɪ/;  kiểm tra lại, thẩm tra, xác minh

21. Banking; Ngân hàng 
accept /əkˈsept/, /əkˈsept/;  chấp nhận, thừa nhận, công nhận
balance /ˈbæləns/, /ˈbæləns/;  số dư tài khoản
borrow /ˈbɒrəʊ/, /ˈbɔːroʊ/;  vay, mượn
cautiously /ˈkɔːʃəsli/, /ˈkɔːʃəsli/;  thận trọng, cẩn thận
deduct /dɪˈdʌkt/, /dɪˈdʌkt/;  lấy đi, trừ đi, khấu trừ
dividend /ˈdɪvɪdend/, /ˈdɪvɪdend/;  tiền lãi cổ phần
down payment; phần tiền trả trước ban đầu
mortgage /ˈmɔːɡɪdʒ/, /ˈmɔːrɡɪdʒ/;  sự cầm cố, sự thế chấp
restricted /rɪˈstrɪktɪd/, /rɪˈstrɪktɪd/;  bị hạn chế, bị giới hạn
signature /ˈsɪɡnətʃə(r)/, /ˈsɪɡnətʃər/;  chữ ký, ký hiệu, dấu hiệu
take out; rút (tiền)
transaction /trænˈzækʃn/, /trænˈzækʃn/;  sự giao dịch

22. Accounting; Kế toán
accounting /əˈkaʊntɪŋ/, /əˈkaʊntɪŋ/;  công việc kế toán /əˈkaʊntɪŋ/, /əˈkaʊntɪŋ/;  sự thanh toán, tính toán
accumulate /əˈkjuːmjəleɪt/, /əˈkjuːmjəleɪt/;  tích lũy, tích góp, gom góp
asset /ˈæset/, /ˈæset/;  tài sản, của cải
audit /ˈɔːdɪt/, /ˈɔːdɪt/;  kiểm toán
budget /ˈbʌdʒɪt/, /ˈbʌdʒɪt/;  ngân sách, ngân quỹ
build up; tăng cường, gom lại, tích lạ
client /ˈklaɪənt/, /ˈklaɪənt/;  khách, khách hàng
debt /det/, /det/;  nợ, món nợ
outstanding /aʊtˈstændɪŋ/, /aʊtˈstændɪŋ/;  còn tồn tại, chưa giải quyết xong, chưa trả nợ
profitably /əbli/, /əbli/;  có lợi, có ích, sinh lãi
reconcile /ˈrekənsaɪl/, /ˈrekənsaɪl/;  hòa giải, giảng hòa, chỉnh lý
turnover /ˈtɜːnəʊvə(r)/, /ˈtɜːrnoʊvər/;  doanh số, doanh thu

23. Investments; Sự đầu tư
aggressively /əˈɡresɪvli/, /əˈɡresɪvli/;  hung hăng, hùng hổ
attitude /ˈætɪtjuːd/, /ˈætɪtuːd/;  quan điểm, thái độ
commit /kəˈmɪt/, /kəˈmɪt/;  cam kết
conservative /ˈsɜːvətɪv/, /ˈsɜːrvətɪv/;  bảo thủ, dè dặt, thận trọng
fund /fʌnd/, /fʌnd/;  nguồn tiền, quỹ dự trữ
invest /ɪnˈvest/, /ɪnˈvest/;  đầu tư
long-term /ˌlɒŋ ˈtɜːm/, /ˌlɔːŋ ˈtɜːrm/;  dài hạn, dài ngày, lâu dài 
portfolio /pɔːtˈfəʊliəʊ/, /pɔːrtˈfoʊlioʊ/;  danh mục đầu tư, danh sách vốn đầu tư
pull out; rút ra, rút khỏi
resource /rɪˈsɔːs/, /ˈzɔːs/;  tài nguyên, tài sản
return /rɪˈtɜːn/, /rɪˈtɜːrn/;  tiền lãi, tiền lời
wisely /ˈwaɪzli/, /ˈwaɪzli/;  khôn ngoan, thông thái, uyên bác

24. Taxes; Thuế
calculation /ˌkælkjuˈleɪʃn/, /ˌkælkjuˈleɪʃn/;  sự tính toán
deadline /ˈdedlaɪn/, /ˈdedlaɪn/;  thời hạn chót
file /faɪl/, /faɪl/;  sắp xếp, sắp đặt
fill out; hoàn tất, hoàn thành, điền vào (cho đầy đủ)
give up; bỏ, từ bỏ
joint /dʒɔɪnt/, /dʒɔɪnt/;  chung, cùng, gia nhập
owe /əʊ/, /oʊ/;  nợ, mắc nợ
penalty /ˈpenəlti/, /ˈpenəlti/;  khoản tiền phạt
preparation /ˌprepəˈreɪʃn/, /ˌprepəˈreɪʃn/;  sự chuẩn bị, sửa soạn
refund /ˈriːfʌnd/, /ˈriːfʌnd/;  trả lại, hoàn lại tiền
spouse /spaʊs/, /spaʊs/;  chồng, vợ
withhold /wɪðˈhəʊld/, /ˈhoʊld/;  kìm lại, giữ lại, ngăn cản

25. Financial statements; Bản báo cáo tài chính
desire /dɪˈzaɪə(r)/, /dɪˈzaɪər/;  thèm muốn, khao khát, ao ước
detail /ˈdiːteɪl/, /ˈdiːteɪl/;  chi tiết, tỉ mỉ
forecast /ˈfɔːkɑːst/, /ˈfɔːrkæst/;  dự báo, dự đoán, đoán trước
level /ˈlevl/, /ˈlevl/;  mức, cấp bậc, trình độ
overall /ˌəʊvərˈɔːl/, /ˌoʊvərˈɔːl/;  toàn bộ, toàn thể, nói chung
perspective /pəˈspektɪv/, /pərˈspektɪv/;  quan điểm, cách nhìn
project /ˈprɒdʒekt/, /ˈprɑːdʒekt/;  kế hoạch, đồ án, dự án
realistic /ˌriːəˈlɪstɪk/, /ˌrɪəˈlɪstɪk/;  hiện thực, thực tế
target /ˈtɑːɡɪt/, /ˈtɑːrɡɪt/;  mục tiêu, mục đích
translation /trænzˈleɪʃn/, /trænzˈleɪʃn/;  bản dịch, bài dịch
typically /ˈtɪpɪkli/, /ˈtɪpɪkli/;  tiêu biểu, điển hình
yield /jiːld/, /jiːld/;  sản lượng, lợi tức, hoa lợi

26. Property and departments; Bất động sản và căn hộ
adjacent /əˈdʒeɪsnt/, /əˈdʒeɪsnt/;  kế bên, liền kề, sát cạnh
collaboration /kəˌlæbəˈreɪʃn/, /kəˌlæbəˈreɪʃn/;  sự cộng tác, hợp tác
concentrate /ˈkɒnsntreɪt/, /ˈkɑːnsntreɪt/;  tập trung
conducive /ˈdjuːsɪv/, /ˈduːsɪv/;  có ích, có lợi
disruption /dɪsˈrʌpʃn/, /dɪsˈrʌpʃn/;  sự phá vỡ
hamper /ˈhæmpə(r)/, /ˈhæmpər/;  cản trở, gây trở ngại
inconsiderately /ˌɪnkənˈsɪdərətli/, /ˌɪnkənˈsɪdərətli/;  thiếu thận trọng, thiếu suy nghĩ
lobby /ˈlɒbi/, /ˈlɑːbi/;  hành lang, sảnh chờ
move up; tiến lên, thăng tiến
opt /ɒpt/, /ɑːpt/;  chọn lựa, chọn, quyết định
open to; tiếp thu, dùng được cho ai đó
scrutiny /ˈskruːtəni/, /ˈskruːtəni/;  sự nhìn chăm chú

27. Board meetings and committees; Họp hội đồng quản trị và ủy ban
adhere to; tuân thủ, tôn trọng triệt để
agenda /əˈdʒendə/, /əˈdʒendə/;  nhật ký công tác, chương trình nghị sự
bring up; đưa ra
conclude /kənˈkluːd/, /kənˈkluːd/;  kết luận, quyết định
go ahead; cho phép, tiếp tục
goal /ɡəʊl/, /ɡoʊl/;  mục tiêu, mục đích
lengthy /ˈleŋθi/, /ˈleŋθi/;  lâu, dài, dài dòng
matter /ˈmætə(r)/, /ˈmætər/;  nội dung, chủ đề, vấn đề
periodically /kli/, /kli/;  một cách định kỳ
priority /ˈɒrəti/, /ˈɔːrəti/;  ưu tiên, được xét trước
progress /ˈprəʊɡres/, /ˈprɑːɡres/;  sự tiến tới, sự tiến triển
waste /weɪst/, /weɪst/;  lãng phí, đồ bỏ đi, đồ thải ra

28. Quality control; Quản lý chấtlượng
